Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,Cincinnati,Seton Hall,65,59,Win
2/2/13,Seton Hall,Cincinnati,59,65,Loss
2/2/13,Houston,SMU,84,80,Win
2/2/13,SMU,Houston,80,84,Loss
2/2/13,Georgia,South Carolina,67,56,Win
2/2/13,South Carolina,Georgia,56,67,Loss
2/2/13,Southern Univ,Grambling,59,31,Win
2/2/13,Grambling,Southern Univ,31,59,Loss
2/2/13,Southern Utah,Northern Arizona,78,67,Win
2/2/13,Northern Arizona,Southern Utah,67,78,Loss
2/2/13,St Bonaventure,Duquesne,68,60,Win
2/2/13,Duquesne,St Bonaventure,60,68,Loss
2/2/13,St Francis PA,St Francis NY,64,61,Win
2/2/13,St Francis NY,St Francis PA,61,64,Loss
2/2/13,St Joseph's PA,Temple,70,69,Win
2/2/13,Temple,St Joseph's PA,69,70,Loss
2/2/13,St Louis,Dayton,81,52,Win
2/2/13,Dayton,St Louis,52,81,Loss
2/2/13,St Mary's CA,Portland,77,42,Win
2/2/13,Portland,St Mary's CA,42,77,Loss
2/2/13,Sam Houston St,TAM C. Christi,55,51,Win
2/2/13,TAM C. Christi,Sam Houston St,51,55,Loss
2/2/13,Texas,TCU,60,43,Win
2/2/13,TCU,Texas,43,60,Loss
2/2/13,Kentucky,Texas A&M,72,68,Win
2/2/13,Texas A&M,Kentucky,68,72,Loss
2/2/13,Denver,Texas St,79,64,Win
2/2/13,Texas St,Denver,64,79,Loss
2/2/13,West Virginia,Texas Tech,77,61,Win
2/2/13,Texas Tech,West Virginia,61,77,Loss
2/2/13,Troy,ULL,71,52,Win
2/2/13,ULL,Troy,52,71,Loss
2/2/13,TX Pan American,Chicago St,68,65,Win
2/2/13,Chicago St,TX Pan American,65,68,Loss
2/2/13,TX Southern,Prairie View,84,48,Win
2/2/13,Prairie View,TX Southern,48,84,Loss
2/2/13,Southern Miss,UAB,79,75,Win
2/2/13,UAB,Southern Miss,75,79,Loss
2/2/13,UC Irvine,Santa Barbara,62,60,Win
2/2/13,Santa Barbara,UC Irvine,60,62,Loss
